date_id,date,day,month,year
20240612,2024-06-12,12,6,2024
20240611,2024-06-11,11,6,2024
20240613,2024-06-13,13,6,2024
20240614,2024-06-14,14,6,2024
20240615,2024-06-15,15,6,2024
20240616,2024-06-16,16,6,2024
20240617,2024-06-17,17,6,2024
20240618,2024-06-18,18,6,2024
20240619,2024-06-19,19,6,2024
20240620,2024-06-20,20,6,2024
20240621,2024-06-21,21,6,2024
20240622,2024-06-22,22,6,2024
20240623,2024-06-23,23,6,2024
20240624,2024-06-24,24,6,2024
20240625,2024-06-25,25,6,2024
20240626,2024-06-26,26,6,2024
20240627,2024-06-27,27,6,2024
20240628,2024-06-28,28,6,2024
20240629,2024-06-29,29,6,2024
20240630,2024-06-30,30,6,2024
20240701,2024-07-01,1,7,2024
